num_hidden_units,mse,r2
10,0.008606124503524876,0.49244720207569337
20,0.007891940074992443,0.5345667768955954
30,0.008552664041720394,0.4956000738423145
40,0.009111907483990283,0.4626182626067641
50,0.007330730677425158,0.5676645318537097
60,0.008312832779012746,0.5097443066345695
70,0.007172577699856738,0.5769917250905767
80,0.007051108670832023,0.5841554543066009
90,0.008089299341338495,0.5229273626866562
100,0.006961543817268914,0.5725158010512708 
110,0.0067943040905880155,0.5993007015278371
